company_id,company_name,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,revenue_cagr_5yr,composite_quality_score,flag,roe_score,roce_score,growth_score,margin_score,quality_score,valuation_score,overall_score,grade,rank,recommendation,risk_level,strengths,weaknesses,investment_view,risk_summary,opportunities
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,11.55,20.23,3.06,9.21,26.44,Discount,10,18,7,3,5,10,53,C,68,🟠 Watch,High,"['Strong Capital Efficiency', 'Trading Below Sector Valuation']","['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Potential upside due to attractive valuation.']
JSWSTEEL,JSW Steel Ltd,Materials,11.55,17.0,5.13,15.6,26.28,Fair,10,15,12,7,5,8,57,C,56,🟠 Watch,High,['Healthy Revenue Growth'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
JSWENERGY,JSW Energy Ltd,Energy,8.28,10.27,15.02,4.68,25.8,Discount,5,10,3,12,5,10,45,D,82,🔴 High Risk,Very High,"['Excellent Profit Margin', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Slow Revenue Growth', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
BHARTIARTL,Bharti Airtel Ltd,Communication Services,10.36,26.25,5.71,13.17,25.7,Fair,10,20,10,7,5,8,60,B,51,🟠 Watch,High,['Strong Capital Efficiency'],['Weak Quality Score'],Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
TECHM,Tech Mahindra Ltd,Information Technology,8.99,15.43,4.61,8.4,25.24,Fair,5,15,7,3,5,8,43,D,85,🔴 High Risk,Very High,['No major financial strengths identified'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,7.73,754.9,0.94,16.85,24.94,Discount,5,20,12,3,5,10,55,C,63,🟠 Watch,High,"['Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']","['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
LODHA,Macrotech Developers Ltd,Real Estate,8.9,10.59,15.06,-2.83,24.93,Fair,5,10,3,12,5,8,43,D,87,🔴 High Risk,Very High,['Excellent Profit Margin'],"['Low Return on Equity', 'Slow Revenue Growth', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
UNITDSPR,,,,,12.44,3.92,24.63,Unknown,0,0,3,10,5,6,24,D,99,🔴 High Risk,Very High,['No major financial strengths identified'],"['Slow Revenue Growth', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
RECLTD,REC Ltd,Financials,20.4,9.3,29.77,13.34,24.32,Fair,18,5,10,15,5,8,61,B,47,🟠 Watch,High,"['High Return on Equity', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
WIPRO,,,,,12.38,8.75,24.21,Unknown,0,0,7,10,5,6,28,D,97,🔴 High Risk,Very High,['No major financial strengths identified'],['Weak Quality Score'],High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.46,11.49,7.2,17.85,23.49,Fair,5,10,12,7,5,8,47,D,80,🔴 High Risk,Very High,['Healthy Revenue Growth'],"['Low Return on Equity', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Strong revenue growth supports future expansion.']
VEDL,,,,,5.25,9.32,21.96,Unknown,0,0,7,7,5,6,25,D,98,🔴 High Risk,Very High,['No major financial strengths identified'],['Weak Quality Score'],High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
HDFCBANK,HDFC Bank Ltd,Financials,14.34,4.89,23.07,21.95,21.76,Fair,10,5,15,15,5,8,58,C,55,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,17.46,3.5,17.85,21.94,21.71,Discount,15,5,15,12,5,10,62,B,42,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
PFC,Power Finance Corporation Ltd,Financials,26.16,3.49,28.92,11.08,21.24,Fair,20,5,10,15,5,8,63,B,38,🟠 Watch,High,"['High Return on Equity', 'Excellent Profit Margin']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
CANBK,Canara Bank,Financials,16.72,3.16,13.94,18.18,20.02,Fair,15,5,12,10,5,8,55,C,62,🟠 Watch,High,['Healthy Revenue Growth'],"['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
AXISBANK,Axis Bank Ltd,Financials,15.83,2.61,22.73,14.74,19.83,Fair,15,5,10,15,5,8,58,C,54,🟠 Watch,High,['Excellent Profit Margin'],"['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['No major investment opportunities identified.']
INDUSINDBK,IndusInd Bank Ltd,Financials,14.25,3.56,19.56,15.5,19.74,Discount,10,5,12,12,5,10,54,C,64,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
ADANIGREEN,Adani Green Energy Ltd,Energy,12.81,9.8,13.67,34.98,19.36,Fair,10,5,15,10,5,8,53,C,69,🟠 Watch,High,['Healthy Revenue Growth'],"['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,-4.45,18.69,-3.98,6.45,18.86,Discount,5,15,7,3,5,10,45,D,83,🔴 High Risk,Very High,['Trading Below Sector Valuation'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
BANKBARODA,Bank of Baroda,Financials,15.76,2.82,15.94,17.48,18.85,Discount,15,5,12,12,5,10,59,C,53,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
IRFC,Indian Railway Finance Corporation Ltd,Financials,13.04,5.75,24.06,19.07,17.85,Discount,10,5,12,15,5,10,57,C,58,🟠 Watch,High,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'Trading Below Sector Valuation']","['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.']"
TATASTEEL,"Tata Steel Ltd
",Materials,-5.33,12.42,-2.14,7.77,17.82,Fair,5,10,7,3,5,8,38,D,92,🔴 High Risk,Very High,['No major financial strengths identified'],"['Low Return on Equity', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['No major investment opportunities identified.']
BHEL,"Bharat Heavy Electricals Limited
",Industrials,1.15,2.14,1.18,-4.73,17.37,Discount,5,5,3,3,5,10,31,D,95,🔴 High Risk,Very High,['Trading Below Sector Valuation'],"['Low Return on Equity', 'Weak Capital Efficiency', 'Slow Revenue Growth', 'Low Profit Margin', 'Weak Quality Score']",High investment risk due to weak fundamentals.,Very high investment risk. Invest cautiously.,['Potential upside due to attractive valuation.']
UNIONBANK,,,14.14,0.34,13.75,23.95,11.36,Unknown,10,5,15,10,5,6,51,C,76,🟠 Watch,High,['Healthy Revenue Growth'],"['Weak Capital Efficiency', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Strong revenue growth supports future expansion.']
